Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
914,914,26/1/2021,11:8:1:414,276.41,31.33,425.12,0.5539999999999999,941.747,421.5622514103462,276.91
915,915,26/1/2021,11:8:1:524,276.41,31.32,404.02,0.555,941.747,421.36457594308473,276.91
916,916,26/1/2021,11:8:1:633,276.41,31.35,432.42,0.5539999999999999,941.747,421.1674525144525,276.91
917,917,26/1/2021,11:8:1:743,276.91,31.47,404.62,0.5539999999999999,941.747,420.9707663323119,276.91
918,918,26/1/2021,11:8:1:852,276.91,31.35,440.02,0.5539999999999999,941.747,420.774359236773,276.91
919,919,26/1/2021,11:8:1:961,276.91,31.43,421.42,0.5539999999999999,941.747,420.5780802715689,276.91
920,920,26/1/2021,11:8:2:102,275.91,31.35,421.42,0.5539999999999999,941.747,420.3818425909428,276.91
921,921,26/1/2021,11:8:2:180,276.41,31.49,421.12,0.5539999999999999,941.897,420.1856283766577,276.91
922,922,26/1/2021,11:8:2:290,276.41,31.39,420.52,0.5539999999999999,941.747,419.9894521053975,276.91
923,923,26/1/2021,11:8:2:399,277.41,31.35,426.02,0.5539999999999999,941.747,419.79334673681467,276.91
924,924,26/1/2021,11:8:2:508,276.41,31.35,418.92,0.5539999999999999,941.747,419.59737662606085,276.91
925,925,26/1/2021,11:8:2:617,276.41,31.43,423.22,0.5539999999999999,941.747,419.40164663100995,276.91
926,926,26/1/2021,11:8:2:727,275.91,31.41,423.22,0.5539999999999999,941.747,419.20630126825216,276.91
927,927,26/1/2021,11:8:2:852,277.41,31.35,432.12,0.5539999999999999,941.747,419.0115392759224,276.91
928,928,26/1/2021,11:8:2:946,276.91,31.41,405.52,0.555,941.897,418.8176352903266,276.91
929,929,26/1/2021,11:8:3:133,276.41,31.41,425.72,0.5539999999999999,941.747,418.6249150851188,276.91
930,930,26/1/2021,11:8:3:164,276.91,31.37,420.82,0.5539999999999999,941.747,418.43371167937937,276.91
931,931,26/1/2021,11:8:3:274,276.91,31.41,420.22,0.5539999999999999,941.747,418.2443717564073,276.91
932,932,26/1/2021,11:8:3:383,276.91,31.43,419.62,0.5539999999999999,941.747,418.0572799080588,276.91
933,933,26/1/2021,11:8:3:492,277.41,31.41,413.82,0.5539999999999999,941.747,417.87285066240264,276.91
934,934,26/1/2021,11:8:3:602,276.91,31.43,408.02,0.5539999999999999,941.747,417.6914924828537,276.91
935,935,26/1/2021,11:8:3:711,277.41,31.39,404.02,0.5539999999999999,941.747,417.5135472439408,276.91
936,936,26/1/2021,11:8:3:852,276.41,31.33,433.62,0.5539999999999999,941.747,417.339249167126,276.91
937,937,26/1/2021,11:8:3:930,276.41,31.43,425.72,0.5539999999999999,941.747,417.1687836799293,276.91
938,938,26/1/2021,11:8:4:40,275.91,31.41,421.72,0.5539999999999999,941.747,417.0024073744008,276.91
939,939,26/1/2021,11:8:4:149,275.91,31.41,423.82,0.5529999999999999,941.747,416.8405024577003,276.91
940,940,26/1/2021,11:8:4:258,276.41,31.39,421.42,0.5529999999999999,941.747,416.68355983811966,276.91
941,941,26/1/2021,11:8:4:368,276.41,31.43,409.82,0.5529999999999999,941.747,416.532149948314,276.91
