Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
5322,5322,26/1/2021,11:1:44:721,275.91,31.39,442.82,0.5539999999999999,941.8969999999999,421.4638008699096,276.41
5323,5323,26/1/2021,11:1:44:877,276.91,31.37,404.92,0.5539999999999999,942.047,421.39501784111326,276.91
5324,5324,26/1/2021,11:1:44:939,276.41,31.45,442.12,0.5539999999999999,941.8969999999999,421.32775466925415,277.41
5325,5325,26/1/2021,11:1:45:49,276.41,31.47,406.42,0.5539999999999999,942.047,421.2621216215602,275.91
5326,5326,26/1/2021,11:1:45:163,276.41,31.41,431.22,0.5539999999999999,941.8969999999999,421.19823188101196,276.41
5327,5327,26/1/2021,11:1:45:272,276.41,31.37,406.42,0.5539999999999999,942.047,421.13619891515816,281.81
5328,5328,26/1/2021,11:1:45:397,276.91,31.39,420.22,0.5539999999999999,942.047,421.0761325857824,275.91
5329,5329,26/1/2021,11:1:45:491,277.41,31.39,413.82,0.5529999999999999,942.047,421.0181357942746,276.41
5330,5330,26/1/2021,11:1:45:648,276.41,31.39,444.32,0.5529999999999999,941.8969999999999,420.9623058288579,275.41
5331,5331,26/1/2021,11:1:45:710,276.41,31.39,421.72,0.5529999999999999,942.047,420.9087430871435,275.91
5332,5332,26/1/2021,11:1:45:819,276.91,31.41,438.52,0.5529999999999999,942.047,420.85756038115005,276.91
5333,5333,26/1/2021,11:1:45:929,276.41,31.35,404.32,0.5529999999999999,942.047,420.8088842463508,276.41
5334,5334,26/1/2021,11:1:46:38,276.41,31.45,439.72,0.552,941.8969999999999,420.7628493032431,275.91
5335,5335,26/1/2021,11:1:46:147,276.91,31.39,401.92,0.5529999999999999,942.047,420.7195929646782,275.91
5336,5336,26/1/2021,11:1:46:257,275.91,31.47,425.72,0.552,941.8969999999999,420.67925219873916,275.91
5337,5337,26/1/2021,11:1:46:397,276.91,31.43,413.12,0.552,942.047,420.64196011736465,276.91
5338,5338,26/1/2021,11:1:46:475,276.41,31.41,403.12,0.5529999999999999,942.047,420.6078428817814,277.41
5339,5339,26/1/2021,11:1:46:585,276.91,31.51,402.82,0.5529999999999999,942.047,420.5770142320266,275.91
5340,5340,26/1/2021,11:1:46:694,277.41,31.45,404.92,0.5529999999999999,942.047,420.5495674419757,275.91
5341,5341,26/1/2021,11:1:46:804,276.91,31.51,406.42,0.5529999999999999,942.047,420.5255711617604,277.81
5342,5342,26/1/2021,11:1:46:913,276.41,31.47,405.52,0.5529999999999999,942.047,420.505070073289,277.41
5343,5343,26/1/2021,11:1:47:23,277.41,31.43,417.72,0.5529999999999999,942.047,420.48808735447835,276.41
5344,5344,26/1/2021,11:1:47:147,277.41,31.37,405.82,0.5529999999999999,942.047,420.4746284514112,276.41
5345,5345,26/1/2021,11:1:47:241,276.91,31.39,442.82,0.552,941.8969999999999,420.4646868197055,275.91
5346,5346,26/1/2021,11:1:47:397,276.91,31.39,404.62,0.5529999999999999,942.047,420.4582520980061,276.91
5347,5347,26/1/2021,11:1:47:460,277.41,31.35,427.22,0.5529999999999999,942.047,420.45531545137663,276.91
5348,5348,26/1/2021,11:1:47:569,276.91,31.41,406.12,0.5529999999999999,942.047,420.45586733254163,277.41
5349,5349,26/1/2021,11:1:47:679,277.41,31.35,407.32,0.5529999999999999,942.047,420.45989149665536,276.41
5350,5350,26/1/2021,11:1:47:788,276.41,31.39,411.02,0.5529999999999999,942.047,420.4673587746162,276.41
5351,5351,26/1/2021,11:1:47:897,276.91,31.41,414.42,0.5529999999999999,942.047,420.4782236281365,275.91
5352,5352,26/1/2021,11:1:48:7,276.41,31.41,418.62,0.5529999999999999,942.047,420.4924263775333,276.41
5353,5353,26/1/2021,11:1:48:147,277.41,31.37,408.32,0.5529999999999999,942.047,420.5098972383033,276.41
5354,5354,26/1/2021,11:1:48:225,276.91,31.45,421.12,0.5529999999999999,942.047,420.530557631795,277.41
5355,5355,26/1/2021,11:1:48:335,276.91,31.37,438.22,0.5529999999999999,941.8969999999999,420.5543226813269,277.41
5356,5356,26/1/2021,11:1:48:444,276.91,31.41,404.02,0.5529999999999999,942.047,420.5811081721278,276.91
5357,5357,26/1/2021,11:1:48:553,276.91,31.41,422.92,0.5529999999999999,942.047,420.6108329340231,276.41
5358,5358,26/1/2021,11:1:48:663,277.41,31.35,402.22,0.5539999999999999,942.047,420.64341227282415,276.91
5359,5359,26/1/2021,11:1:48:772,277.41,31.51,420.52,0.5529999999999999,942.047,420.6787512366735,276.41
5360,5360,26/1/2021,11:1:48:897,277.41,31.37,423.52,0.5529999999999999,942.047,420.7167439433381,276.91
5361,5361,26/1/2021,11:1:48:991,276.41,31.45,406.12,0.5529999999999999,942.047,420.75727735308527,277.41
5362,5362,26/1/2021,11:1:49:163,276.91,31.35,422.62,0.5529999999999999,942.047,420.8002328551937,277.41
5363,5363,26/1/2021,11:1:49:209,276.41,31.41,425.12,0.5529999999999999,942.047,420.84548567771566,275.91
